-3	0	0.606208
-2.99	0	0.606208
-2.98	0	0.606208
-2.97	0	0.606208
-2.96	0	0.606208
-2.95	0	0.606208
-2.94	0	0.606208
-2.93	0	0.606208
-2.92	0	0.606208
-2.91	0	0.606208
-2.9	0	0.606208
-2.89	0	0.606208
-2.88	0	0.606208
-2.87	0	0.606208
-2.86	0	0.606208
-2.85	0	0.606208
-2.84	0	0.606208
-2.83	0	0.606208
-2.82	0	0.606208
-2.81	0	0.606208
-2.8	0	0.606208
-2.79	0	0.606208
-2.78	0	0.606208
-2.77	0	0.606208
-2.76	0	0.606208
-2.75	0	0.606208
-2.74	0	0.606208
-2.73	0	0.606208
-2.72	0	0.606208
-2.71	0	0.606208
-2.7	0	0.606208
-2.69	0	0.606208
-2.68	0	0.606208
-2.67	0	0.606208
-2.66	0	0.606208
-2.65	0	0.606208
-2.64	0	0.606208
-2.63	0	0.606208
-2.62	0	0.606208
-2.61	0	0.606208
-2.6	0	0.606208
-2.59	0	0.606208
-2.58	0	0.606208
-2.57	0	0.606208
-2.56	0	0.606208
-2.55	0	0.606208
-2.54	0	0.606208
-2.53	0	0.606208
-2.52	0	0.606208
-2.51	0	0.606208
-2.5	0	0.606208
-2.49	0	0.606208
-2.48	0	0.606208
-2.47	0	0.606208
-2.46	0	0.606208
-2.45	0	0.606208
-2.44	0	0.606208
-2.43	0	0.606208
-2.42	0	0.606208
-2.41	0	0.606208
-2.4	0	0.606208
-2.39	0	0.606208
-2.38	0	0.606208
-2.37	0	0.606208
-2.36	0	0.606208
-2.35	0	0.606208
-2.34	0	0.606208
-2.33	0	0.606208
-2.32	0	0.606208
-2.31	0	0.606208
-2.3	0	0.606208
-2.29	0	0.606208
-2.28	0	0.606208
-2.27	0	0.606208
-2.26	0	0.606208
-2.25	0	0.606208
-2.24	0	0.606208
-2.23	0	0.606208
-2.22	0	0.606208
-2.21	0	0.606208
-2.2	0	0.606208
-2.19	0	0.606208
-2.18	0	0.606208
-2.17	0	0.606208
-2.16	0	0.606208
-2.15	0	0.606208
-2.14	0	0.606208
-2.13	0	0.606208
-2.12	0	0.606208
-2.11	0	0.606208
-2.1	0	0.606208
-2.09	0	0.606208
-2.08	0	0.606208
-2.07	0	0.606208
-2.06	0	0.606208
-2.05	0	0.606208
-2.04	0	0.606208
-2.03	0	0.606208
-2.02	0	0.606208
-2.01	0	0.606208
-2	0	0.606208
-1.99	0	0.606208
-1.98	0	0.606208
-1.97	0	0.606208
-1.96	0	0.606208
-1.95	0	0.606208
-1.94	0	0.606208
-1.93	0	0.606208
-1.92	0	0.606208
-1.91	0	0.606208
-1.9	0	0.606208
-1.89	0	0.606208
-1.88	0	0.606208
-1.87	0	0.606208
-1.86	0	0.606208
-1.85	0	0.606208
-1.84	0	0.606208
-1.83	0	0.606208
-1.82	0	0.606208
-1.81	0	0.606208
-1.8	0	0.606208
-1.79	0	0.606208
-1.78	0	0.606208
-1.77	0	0.606208
-1.76	0	0.606208
-1.75	0	0.606208
-1.74	0	0.606208
-1.73	0	0.606208
-1.72	0	0.606208
-1.71	0	0.606208
-1.7	0	0.606208
-1.69	0	0.606208
